地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
,鄭宇恩,3,女,1986,民主進步黨,31928,29.26%,*,否
,蔡錦賢,4,男,1949,無黨籍及未經政黨推薦,20167,18.48%,*,是
,蔡葉偉,5,男,1954,中國國民黨,16421,15.05%,*,否
,呂子昌,6,男,1958,民主進步黨,14919,13.67%, ,是
新北市第02選區,蔡健棠,1,男,1963,中國國民黨,20218,6.62%, ,否
,宋明宗,2,男,1967,中國國民黨,24326,7.96%,*,是
,陳明義,3,男,1967,中國國民黨,20466,6.70%, ,是
,何淑峯,4,女,1967,民主進步黨,24987,8.18%,*,是
,賴秋媚,5,女,1963,民主進步黨,21927,7.18%,*,是
,董吉誠,6,男,1960,無黨籍及未經政黨推薦,1521,0.49%, ,否
,鍾宏仁,7,男,1957,民主進步黨,40858,13.38%,*,否
,張晉婷,8,女,1969,台灣團結聯盟,26625,8.72%,*,是
,黃林玲玲,9,女,1942,中國國民黨,25082,8.21%,*,是
,蔣根煌,10,男,1963,中國國民黨,22188,7.26%,*,是
,陳文治,11,男,1967,民主進步黨,20481,6.70%,*,是
,陳科名,12,男,1970,民主進步黨,27269,8.93%,*,是
,蔡淑君,13,女,1970,中國國民黨,29373,9.62%,*,是
新北市第03選區,李倩萍,1,女,1970,民主進步黨,28652,9.83%,*,是
,蕭榮騰,2,男,1968,人民最大黨,614,0.21%, ,否
,鄭金隆,3,男,1955,民主進步黨,20694,7.10%,*,是
,王詠沛,4,女,1964,親民黨,4337,1.48%, ,否
,黃桂蘭,5,女,1957,中國國民黨,19111,6.55%, ,是
,張宸浩,6,男,1980,新黨,2599,0.89%, ,否
,董俊良,7,男,1970,無黨籍及未經政黨推薦,556,0.19%, ,否
,胡淑蓉,8,女,1960,中國國民黨,15708,5.38%, ,是
,蔡明堂,9,男,1958,中國國民黨,25538,8.76%,*,否
,李翁月娥,10,女,1958,無黨籍及未經政黨推薦,20340,6.97%,*,是
,李丹鳳,11,女,1978,人民民主陣線,2603,0.89%, ,否
,鄭世維,12,男,1966,中國國民黨,14520,4.98%, ,否
,陳幸進,13,男,1943,中國國民黨,20819,7.14%,*,是
,蘇卿彥,14,男,1939,無黨籍及未經政黨推薦,312,0.10%, ,否
,李坤城,15,男,1973,民主進步黨,26809,9.19%,*,是
,李余典,16,男,1958,民主進步黨,26794,9.19%,*,是
,邱婷蔚,17,女,1980,民主進步黨,32511,11.15%,*,否
,陳啟能,18,男,1959,民主進步黨,24841,8.52%,*,是
,陳良安,19,男,1970,台灣團結聯盟,4076,1.39%, ,否
新北市第04選區,曾煥嘉,1,男,1976,中國國民黨,21807,7.96%,*,是
,周勝考,2,男,1956,中國國民黨,25921,9.46%,*,是
,廖裕德,3,男,1951,無黨籍及未經政黨推薦,19739,7.20%,*,是
,顏德民,4,男,1976,無黨籍及未經政黨推薦,1745,0.63%, ,否
,王淑慧,5,女,1955,民主進步黨,21866,7.98%,*,是
,黃俊哲,6,男,1978,民主進步黨,21625,7.89%,*,否
,林水山,7,男,1956,民主進步黨,14115,5.15%, ,是
,何博文,8,男,1973,民主進步黨,35304,12.89%,*,否
,林世棟,9,男,1957,親民黨,3385,1.23%, ,否
,林國春,10,男,1968,中國國民黨,28193,10.29%,*,是
,劉美芳,11,女,1978,中國國民黨,18343,6.69%,*,是
,王炳忠,12,男,1987,新黨,4299,1.56%, ,否
,張宏陸,13,男,1972,民主進步黨,21066,7.69%,*,是
,李婉鈺,14,女,1972,無黨籍及未經政黨推薦,15770,5.75%, ,是
,趙燕昭,15,男,1956,中國國民黨,13710,5.00%, ,否
,蕭貫譽,16,男,1956,台灣團結聯盟,6955,2.53%, ,否
新北市第05選區,陳錦錠,1,女,1954,中國國民黨,26290,12.78%,*,是
,江永昌,2,男,1969,民主進步黨,38503,18.72%,*,是
,林朝鑫,3,男,1960,無黨籍及未經政黨推薦,8788,4.27%, ,否
,戴德成,4,男,1962,新黨,13965,6.79%, ,否
,游輝宂,5,男,1983,無黨籍及未經政黨推薦,24703,12.01%,*,否
,林秀惠,6,女,1955,民主進步黨,21678,10.54%,*,是
,張瑞山,7,男,1955,民主進步黨,21768,10.58%,*,是
,金瑞龍,8,男,1969,中國國民黨,21159,10.29%, ,是
,邱烽堯,9,男,1973,中國國民黨,28764,13.98%,*,是
新北市第06選區,羅文崇,1,男,1964,民主進步黨,18015,16.85%,*,否
,陳鴻源,2,男,1967,中國國民黨,19967,18.68%,*,是
,許昭興,3,女,1971,民主進步黨,22411,20.96%,*,是
,蔡明璋,4,男,1965,新黨,3733,3.49%, ,否
,金介壽,5,男,1951,中國國民黨,17861,16.71%, ,是
,連斐璠,6,女,1959,中國國民黨,21700,20.30%,*,是
,莊育麟,7,男,1974,人民民主陣線,3188,2.98%, ,否
新北市第07選區,王明麗,1,女,1952,中國國民黨,15771,5.53%, ,是
,林銘仁,2,男,1960,民主進步黨,21388,7.50%,*,是
,林明正,3,男,1978,新黨,1792,0.62%, ,否
,吳琪銘,4,男,1963,民主進步黨,30103,10.56%,*,是
,林金結,5,男,1968,中國國民黨,18462,6.47%,*,否
,彭成龍,6,男,1956,民主進步黨,17195,6.03%,*,是
,李宜潔,7,女,1970,台灣團結聯盟,3432,1.20%, ,否
,陳世榮,8,男,1957,無黨籍及未經政黨推薦,22016,7.72%,*,是
,朱子孟,9,男,1962,中國國民黨,8770,3.07%, ,否
,羅友志,10,男,1972,無黨籍及未經政黨推薦,3695,1.29%, ,否
,黃永昌,11,男,1962,中國國民黨,18070,6.33%,*,是
